date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"September 7, 2020 at 10:08:41 PM",117.02 KB,0.09767199444058373,0.2794764883020616,0.0027333796618021775,0.000011582117211026175,0
"September 8, 2020 at 10:08:41 PM",117.01 KB,0.09760416666666667,0.2515162037037037,0.002789351851851852,0,0
"September 9, 2020 at 10:08:42 PM",117.04 KB,???,???,???,???,???
"September 10, 2020 at 12:16:42 AM",116.99 KB,0.096875,0.31692708333333336,0.009375,???,0
"September 10, 2020 at 10:08:42 PM",116.99 KB,0.09729420731707317,0.00019054878048780488,0,0,0
"September 11, 2020 at 10:08:42 PM",116.99 KB,0.09745370370370371,0,0,0,0
"September 12, 2020 at 10:09:42 PM",117.10 KB,0.09745547073791348,0,0,0,0
"September 13, 2020 at 10:08:42 PM",117.15 KB,0.09600416956219597,0,0,0,0
"September 14, 2020 at 9:08:42 PM",117.37 KB,0.09719806763285024,0,0,0,0
"September 15, 2020 at 10:09:42 PM",117.82 KB,0.09736842105263158,0,0,0,0
"September 16, 2020 at 10:08:42 PM",119.53 KB,0.09716238128329859,0,0,0,0
"September 17, 2020 at 10:09:42 PM",120.29 KB,0.09754799907471663,0,0,0,0
"September 18, 2020 at 8:09:42 PM",120.78 KB,0.1018939393939394,0,0,0,0
"September 19, 2020 at 9:08:42 PM",122.00 KB,0.08869246164109407,0,0,0,0
"September 20, 2020 at 9:08:42 PM",122.64 KB,0.10052083333333334,0,0,0,0
"September 21, 2020 at 10:08:42 PM",123.19 KB,0.09735555555555556,0,0,0,0
"September 22, 2020 at 9:08:42 PM",123.07 KB,0.09742753623188406,0,0,0,0
"September 23, 2020 at 10:09:42 PM",123.16 KB,0.09740173217854764,0,0,0,0
"September 24, 2020 at 10:09:42 PM",122.90 KB,0.09743055555555556,0,0,0,0
"September 25, 2020 at 9:08:42 PM",123.37 KB,0.08182257674643462,0,0,0,0
"September 26, 2020 at 10:09:42 PM",123.84 KB,0.19469242727070843,0,0,0,0
"September 27, 2020 at 10:09:42 PM",123.89 KB,0.19491898148148148,0,0,0,0
"September 28, 2020 at 10:08:42 PM",123.77 KB,0.19174195042853834,0,0,0,0
"September 29, 2020 at 10:09:42 PM",123.92 KB,0.1944945639602128,0,0,0,0
"September 30, 2020 at 9:09:41 PM",124.41 KB,???,???,???,???,0
"October 1, 2020 at 9:08:41 PM",124.34 KB,0.1957030345147093,0,0,0,0
"October 2, 2020 at 10:09:41 PM",124.33 KB,0.19410393071285809,0,0,0,0
"October 3, 2020 at 12:01:41 AM",124.32 KB,0.1949404761904762,0,0,0,0
"October 3, 2020 at 10:08:41 PM",124.64 KB,0.19613162521979402,???,???,???,???
"October 4, 2020 at 9:09:41 PM",124.46 KB,0.1952208544532947,0.36857349746560464,0.0001448225923244026,0.000012068549360366883,0.000012068549360366883
"October 5, 2020 at 10:09:41 PM",124.61 KB,0.1954,0.37822222222222224,0.0002777777777777778,0,0.000011111111111111112
"October 6, 2020 at 10:08:41 PM",124.81 KB,0.19510076441973592,0.3478688904331712,0.00019689599258744498,0,0.000011582117211026175
"October 7, 2020 at 10:09:41 PM",124.89 KB,???,???,???,???,???
"October 8, 2020 at 12:13:41 AM",124.99 KB,0.19529569892473117,0.598252688172043,0,0,0.00013440860215053763
"October 8, 2020 at 10:08:41 PM",125.13 KB,0.19926489226869454,0.00008871989860583017,0,0,0
"October 9, 2020 at 10:09:41 PM",125.23 KB,0.19500346981263011,0,0,0,0
"October 10, 2020 at 10:09:41 PM",125.34 KB,0.19467592592592592,0,0,0,0
"October 11, 2020 at 10:09:41 PM",125.27 KB,0.1999189814814815,0,0,0,0
"October 12, 2020 at 10:09:41 PM",125.31 KB,0.1946412037037037,0,0,0,0
"October 13, 2020 at 10:08:41 PM",125.27 KB,0.1918577716006486,0,0,0,0
"October 14, 2020 at 10:09:41 PM",125.26 KB,0.19314133703446681,0,0,0,0
"October 15, 2020 at 10:09:41 PM",125.16 KB,0.19425925925925927,0,0,0,0
"October 16, 2020 at 9:09:42 PM",125.14 KB,???,???,???,???,???
"October 17, 2020 at 7:08:42 PM",125.21 KB,0.20317159464240586,0,0,0,0
"October 18, 2020 at 7:09:42 PM",125.35 KB,0.20624566273421235,0,0,0,0
"October 19, 2020 at 5:08:42 PM",125.54 KB,0.19029567854435178,0,0,0,0
"October 20, 2020 at 3:08:42 PM",125.68 KB,0.19936868686868686,0,0,0,0
"October 21, 2020 at 2:09:42 PM",126.10 KB,0.18248853487810765,0,0,0,0
"October 22, 2020 at 2:08:41 PM",126.04 KB,???,0,0,0,0
"October 23, 2020 at 2:09:41 PM",125.87 KB,0.19463335646541755,0,0,0,0
"October 24, 2020 at 2:09:41 PM",125.99 KB,0.199375,0,0,0,0
"October 25, 2020 at 3:08:41 PM",125.99 KB,0.1818545697131421,0,0,0,0
"October 26, 2020 at 9:09:41 AM",126.19 KB,0.19030218933086648,0,0,0,0
"October 27, 2020 at 6:08:41 PM",126.05 KB,0.18678625568468923,0,0,0,0
"October 28, 2020 at 10:08:41 PM",126.05 KB,0.19212301587301586,0,0,0,0
"October 29, 2020 at 10:09:41 PM",126.18 KB,0.1902151283830673,0,0,0,0
"October 30, 2020 at 10:09:41 PM",125.99 KB,0.17703703703703705,0,0,0,0
"October 31, 2020 at 10:09:41 PM",126.01 KB,0.17568287037037036,0,0,0,0
"November 1, 2020 at 10:09:41 PM",126.13 KB,0.19488425925925926,0,0,0,0
"November 2, 2020 at 10:09:41 PM",126.13 KB,0.19524305555555554,0,0,0,0
"November 3, 2020 at 10:08:41 PM",126.14 KB,0.18237201760481817,0,0,0,0
"November 4, 2020 at 10:08:41 PM",126.51 KB,0.19241898148148148,0,0,0,0
"November 5, 2020 at 10:08:41 PM",126.64 KB,0.18744212962962964,0,0,0,0
"November 6, 2020 at 10:08:41 PM",126.42 KB,0.19446759259259258,0,0,0,0
"November 7, 2020 at 10:08:41 PM",126.42 KB,0.18163194444444444,0,0,0,0
"November 8, 2020 at 10:08:41 PM",126.39 KB,0.19171296296296297,0,0,0,0
"November 9, 2020 at 10:09:41 PM",126.50 KB,0.19495720564422855,0,0,0,0
"November 10, 2020 at 10:08:41 PM",126.58 KB,0.19444058373870743,0,0,0,0
"November 11, 2020 at 10:08:41 PM",126.51 KB,0.18716435185185185,0,0,0,0
"November 12, 2020 at 10:08:41 PM",126.41 KB,0.17673611111111112,0,0,0,0
"November 13, 2020 at 10:08:41 PM",126.41 KB,0.1932986111111111,0,0,0,0
"November 14, 2020 at 10:09:41 PM",126.40 KB,0.19513069627573446,0,0,0,0
"November 15, 2020 at 10:09:41 PM",126.41 KB,0.19576388888888888,0,0,0,0
"November 16, 2020 at 10:08:41 PM",126.40 KB,0.186286773222145,0,0,0,0
"November 17, 2020 at 10:08:41 PM",126.40 KB,0.19019675925925925,0,0,0,0
"November 18, 2020 at 10:08:41 PM",126.40 KB,0.16854166666666667,0,0,0,0
"November 19, 2020 at 10:08:41 PM",126.40 KB,0.18770833333333334,0,0,0,0
"November 20, 2020 at 10:09:41 PM",126.40 KB,0.17270414064307194,0,0,0,0
"November 21, 2020 at 10:08:41 PM",126.40 KB,0.16862404447533008,0,0,0,0
"November 22, 2020 at 10:08:41 PM",126.40 KB,0.19972222222222222,0,0,0,0
"November 23, 2020 at 10:08:41 PM",126.53 KB,0.19435185185185186,0,0,0,0
"November 24, 2020 at 10:09:41 PM",126.42 KB,0.18927827897293545,0,0,0,0
"November 25, 2020 at 10:09:41 PM",126.44 KB,0.16824074074074075,0,0,0,0
"November 26, 2020 at 10:09:41 PM",126.54 KB,0.19219907407407408,0,0,0,0
"November 27, 2020 at 10:08:41 PM",126.54 KB,0.16695621959694232,0,0,0,0
"November 28, 2020 at 10:08:41 PM",126.54 KB,0.1724537037037037,0,0,0,0
"November 29, 2020 at 10:08:41 PM",126.54 KB,0.1823611111111111,0,0,0,0
"November 30, 2020 at 10:08:41 PM",126.64 KB,0.18796296296296297,0,0,0,0
"December 1, 2020 at 10:08:41 PM",126.73 KB,0.1985300925925926,0,0,0,0
"December 2, 2020 at 10:08:41 PM",126.88 KB,0.1946064814814815,0,0,0,0
"December 3, 2020 at 10:08:41 PM",126.93 KB,0.1854398148148148,0,0,0,0
"December 4, 2020 at 1:13:41 AM",126.93 KB,0.16513513513513514,0,0,0,0
"December 4, 2020 at 10:08:41 PM",126.93 KB,???,???,0,0,0
"December 5, 2020 at 10:08:41 PM",126.93 KB,0.19399305555555554,0.258125,0,0,0
"December 6, 2020 at 10:09:41 PM",127.04 KB,0.196588017580384,0.26500115660421003,0,0,???
"December 7, 2020 at 10:08:41 PM",126.97 KB,0.1716006485985638,0.27377808663423675,0,???,0
"December 8, 2020 at 10:08:41 PM",127.11 KB,0.19517361111111112,0.3564583333333333,???,0.000023148148148148147,0.000046296296296296294
"December 9, 2020 at 10:08:41 PM",127.34 KB,0.19506944444444443,0.3796412037037037,0.000011574074074074073,0,0.000023148148148148147
"December 10, 2020 at 10:08:41 PM",127.37 KB,0.1789236111111111,0.38435185185185183,0.00009259259259259259,0.000023148148148148147,0
"December 11, 2020 at 10:09:41 PM",127.24 KB,0.18232708767059913,0.31731436502428867,0.000011566042100393246,0.000011566042100393246,0.00002313208420078649
"December 12, 2020 at 10:09:41 PM",127.36 KB,0.195,0.28704861111111113,0,0,0
"December 13, 2020 at 10:08:41 PM",127.29 KB,0.18005559416261294,0.3121148946027334,0.0000463284688441047,0.000011582117211026175,0.000011582117211026175
"December 14, 2020 at 10:09:41 PM",128.26 KB,0.1945061300023132,0.29919037705297247,0.00008096229470275272,0,0
"December 15, 2020 at 10:08:41 PM",128.70 KB,0.18514014361825343,0.33564975677553854,0.00002316423442205235,0.000011582117211026175,0.0000463284688441047
"December 16, 2020 at 10:09:41 PM",129.17 KB,0.18379597501734907,0.29588248901226,0,0,0
"December 17, 2020 at 10:08:41 PM",127.06 KB,0.17246930738939079,0.22099837850359047,0.009173036831132731,0,0
"December 18, 2020 at 10:08:41 PM",120.45 KB,0.17255787037037038,0.05740740740740741,0.021550925925925925,0,0
