date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"October 8, 2020 at 12:13:41 AM",124.99 KB,0.1952,0,0,0,0
"October 8, 2020 at 10:08:41 PM",125.13 KB,0.19926489226869454,0,0,0,0
"October 9, 2020 at 10:08:41 PM",125.23 KB,0.19503472222222223,0,0,0,0
"October 10, 2020 at 10:08:41 PM",125.34 KB,0.19469907407407408,0,0,0,0
"October 11, 2020 at 10:08:41 PM",125.27 KB,0.1999189814814815,0,0,0,0
"October 12, 2020 at 10:09:41 PM",125.31 KB,0.19462179042331715,0,0,0,0
"October 13, 2020 at 10:08:41 PM",125.27 KB,0.19188093583507065,0,0,0,0
"October 14, 2020 at 10:09:41 PM",125.26 KB,0.1931529030765672,0,0,0,0
"October 15, 2020 at 10:08:41 PM",125.16 KB,0.19425526986333103,0,0,0,0
"October 16, 2020 at 9:08:41 PM",125.14 KB,???,0,0,0,0
"October 17, 2020 at 7:08:41 PM",125.21 KB,0.20321969696969697,0,0,0,0
"October 18, 2020 at 7:08:41 PM",125.35 KB,0.20628472222222222,0,0,0,0
"October 19, 2020 at 5:08:41 PM",125.54 KB,0.1903409090909091,0,0,0,0
"October 20, 2020 at 3:08:41 PM",125.68 KB,0.19940656565656564,0,0,0,0
"October 21, 2020 at 2:08:41 PM",126.10 KB,0.182487922705314,0,0,0,0
"October 22, 2020 at 2:09:41 PM",126.04 KB,???,0,0,0,0
"October 23, 2020 at 2:09:41 PM",125.87 KB,0.19467592592592592,0,0,0,0
"October 24, 2020 at 2:08:41 PM",125.99 KB,0.1995135510771369,0,0,0,0
"October 25, 2020 at 3:08:41 PM",125.99 KB,0.18185555555555555,0,0,0,0
"October 26, 2020 at 9:08:41 AM",126.19 KB,0.19030864197530864,0,0,0,0
"October 27, 2020 at 6:08:41 PM",126.05 KB,0.18680976430976431,0,0,0,0
"October 28, 2020 at 10:09:41 PM",126.05 KB,0.19212770176482252,0,0,0,0
"October 29, 2020 at 10:08:41 PM",126.18 KB,0.19024785730831595,0,0,0,0
"October 30, 2020 at 10:08:41 PM",125.99 KB,0.17704861111111111,0,0,0,0
"October 31, 2020 at 10:09:41 PM",126.01 KB,0.1757228776312746,0,0,0,0
"November 1, 2020 at 10:09:41 PM",126.13 KB,0.19490740740740742,0,0,0,0
"November 2, 2020 at 10:08:41 PM",126.13 KB,0.1953208246467454,0,0,0,0
"November 3, 2020 at 10:08:41 PM",126.14 KB,0.18233796296296295,0,0,0,0
"November 4, 2020 at 10:08:41 PM",126.51 KB,0.19236111111111112,0,0,0,0
"November 5, 2020 at 10:09:41 PM",126.64 KB,0.1874739764052741,0,0,0,0
"November 6, 2020 at 10:09:41 PM",126.42 KB,0.19447916666666668,0,0,0,0
"November 7, 2020 at 10:08:41 PM",126.42 KB,0.1816423442205235,0,0,0,0
"November 8, 2020 at 10:08:41 PM",126.39 KB,0.19172453703703704,0,0,0,0
"November 9, 2020 at 10:08:41 PM",126.50 KB,0.19497685185185185,0,0,0,0
